    DATA    |   HORA   | DESCRIÇÃO 
 31/10/2011 | 12:12:44 | >>> INICIANDO O PROCESSAMENTO DO ADR
 31/10/2011 | 12:12:45 | Arrumando Tributação...
 31/10/2011 | 12:12:45 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 31/10/2011 | 12:12:49 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 31/10/2011 | 12:12:49 | Verificando Processo: 00125/08
 31/10/2011 | 12:12:50 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
 31/10/2011 | 12:12:50 | Verificando Processo: 04135/07
 31/10/2011 | 12:12:50 | CLIENTE: (46) ANDAIMES JIRAU LTDA
 31/10/2011 | 12:12:50 | Verificando Processo: 00118/09
 31/10/2011 | 12:12:50 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 31/10/2011 | 12:12:50 | Verificando Processo: 02481/04
 31/10/2011 | 12:12:50 | Verificando Processo: 09557/09
 31/10/2011 | 12:12:50 | CLIENTE: (187) BP ENERGY DO BRASIL LTDA.
 31/10/2011 | 12:12:50 | Verificando Processo: 00032/08
 31/10/2011 | 12:12:50 | Verificando Processo: 03098/08
 31/10/2011 | 12:12:50 | Verificando Processo: 03577/08
 31/10/2011 | 12:12:50 | Verificando Processo: 03581/08
 31/10/2011 | 12:12:50 | Verificando Processo: 04647/08
 31/10/2011 | 12:12:50 | CLIENTE: (252) BRASDRIL SOCIEDADE DE PERFURAÇÕES LTDA
 31/10/2011 | 12:12:50 | Verificando Processo: 00054/11
 31/10/2011 | 12:12:51 | CLIENTE: (238) BW OFFSHORE DO BRASIL LTDA
 31/10/2011 | 12:12:51 | Verificando Processo: 03532/09
 31/10/2011 | 12:12:51 | CLIENTE: (126) C & C TECHNOLOGIES DO BRASIL LTDA
 31/10/2011 | 12:12:51 | Verificando Processo: 00906/09
 31/10/2011 | 12:12:51 | Verificando Processo: 01844/06
 31/10/2011 | 12:12:51 | Verificando Processo: 01958/05
 31/10/2011 | 12:12:51 | Verificando Processo: 02078/09
 31/10/2011 | 12:12:51 | Verificando Processo: 02260/06
 31/10/2011 | 12:12:51 | CLIENTE: (7) CGG DO BRASIL PARTICIPAÇÕES LTDA
 31/10/2011 | 12:12:51 | Verificando Processo: 01402/07
 31/10/2011 | 12:12:51 | Verificando Processo: 02180/07
 31/10/2011 | 12:12:51 | Verificando Processo: 02807/09
 31/10/2011 | 12:12:51 | Verificando Processo: 03612/08
 31/10/2011 | 12:12:52 | Verificando Processo: 04601/09
 31/10/2011 | 12:12:52 | Verificando Processo: 05927/09
 31/10/2011 | 12:12:52 | CLIENTE: (179) CHEVRON BRASIL LTDA.
 31/10/2011 | 12:12:52 | Verificando Processo: 03051/08
 31/10/2011 | 12:12:52 | CLIENTE: (234) CHEVRON BRASIL UPSTREAM FRADE LTDA
 31/10/2011 | 12:12:52 | Verificando Processo: 00145/09
 31/10/2011 | 12:12:52 | Verificando Processo: 01661/09
 31/10/2011 | 12:12:52 | Verificando Processo: 01697/09
 31/10/2011 | 12:12:52 | Verificando Processo: 01752/09
 31/10/2011 | 12:12:52 | Verificando Processo: 01778/09
 31/10/2011 | 12:12:52 | Verificando Processo: 01788/09
 31/10/2011 | 12:12:52 | Verificando Processo: 01792/09
 31/10/2011 | 12:12:53 | Verificando Processo: 01815/09
 31/10/2011 | 12:12:53 | Verificando Processo: 04876/08
 31/10/2011 | 12:12:53 | Verificando Processo: 06215/08
 31/10/2011 | 12:12:53 | CLIENTE: (216) CONSTRUTORA NORBERTO ODEBRECHT S/A
 31/10/2011 | 12:12:53 | Verificando Processo: 00455/09
 31/10/2011 | 12:12:53 | CLIENTE: (344) ENSCO BRAZIL-SERVIÇOS DE PETROLEO LTDA
 31/10/2011 | 12:12:53 | Verificando Processo: 13237/11
 31/10/2011 | 12:12:53 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13237_DI_1120570613.txt
 31/10/2011 | 12:12:53 | ERRO! Não houve envios.
 31/10/2011 | 12:12:53 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 31/10/2011 | 12:14:14 | >>> INICIANDO O PROCESSAMENTO DO ADR
 31/10/2011 | 12:14:14 | Arrumando Tributação...
 31/10/2011 | 12:14:14 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 31/10/2011 | 12:14:18 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 00125/08
 31/10/2011 | 12:14:19 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 04135/07
 31/10/2011 | 12:14:19 | CLIENTE: (46) ANDAIMES JIRAU LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 00118/09
 31/10/2011 | 12:14:19 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 31/10/2011 | 12:14:19 | Verificando Processo: 02481/04
 31/10/2011 | 12:14:19 | Verificando Processo: 09557/09
 31/10/2011 | 12:14:19 | CLIENTE: (187) BP ENERGY DO BRASIL LTDA.
 31/10/2011 | 12:14:19 | Verificando Processo: 00032/08
 31/10/2011 | 12:14:19 | Verificando Processo: 03098/08
 31/10/2011 | 12:14:19 | Verificando Processo: 03577/08
 31/10/2011 | 12:14:19 | Verificando Processo: 03581/08
 31/10/2011 | 12:14:19 | Verificando Processo: 04647/08
 31/10/2011 | 12:14:19 | CLIENTE: (252) BRASDRIL SOCIEDADE DE PERFURAÇÕES LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 00054/11
 31/10/2011 | 12:14:19 | CLIENTE: (238) BW OFFSHORE DO BRASIL LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 03532/09
 31/10/2011 | 12:14:19 | CLIENTE: (126) C & C TECHNOLOGIES DO BRASIL LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 00906/09
 31/10/2011 | 12:14:19 | Verificando Processo: 01844/06
 31/10/2011 | 12:14:19 | Verificando Processo: 01958/05
 31/10/2011 | 12:14:19 | Verificando Processo: 02078/09
 31/10/2011 | 12:14:19 | Verificando Processo: 02260/06
 31/10/2011 | 12:14:19 | CLIENTE: (7) CGG DO BRASIL PARTICIPAÇÕES LTDA
 31/10/2011 | 12:14:19 | Verificando Processo: 01402/07
 31/10/2011 | 12:14:19 | Verificando Processo: 02180/07
 31/10/2011 | 12:14:19 | Verificando Processo: 02807/09
 31/10/2011 | 12:14:20 | Verificando Processo: 03612/08
 31/10/2011 | 12:14:20 | Verificando Processo: 04601/09
 31/10/2011 | 12:14:20 | Verificando Processo: 05927/09
 31/10/2011 | 12:14:20 | CLIENTE: (179) CHEVRON BRASIL LTDA.
 31/10/2011 | 12:14:20 | Verificando Processo: 03051/08
 31/10/2011 | 12:14:20 | CLIENTE: (234) CHEVRON BRASIL UPSTREAM FRADE LTDA
 31/10/2011 | 12:14:20 | Verificando Processo: 00145/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01661/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01697/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01752/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01778/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01788/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01792/09
 31/10/2011 | 12:14:20 | Verificando Processo: 01815/09
 31/10/2011 | 12:14:20 | Verificando Processo: 04876/08
 31/10/2011 | 12:14:20 | Verificando Processo: 06215/08
 31/10/2011 | 12:14:20 | CLIENTE: (216) CONSTRUTORA NORBERTO ODEBRECHT S/A
 31/10/2011 | 12:14:20 | Verificando Processo: 00455/09
 31/10/2011 | 12:14:20 | CLIENTE: (344) ENSCO BRAZIL-SERVIÇOS DE PETROLEO LTDA
 31/10/2011 | 12:14:21 | Verificando Processo: 13237/11
 31/10/2011 | 12:14:22 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13237_DI_1120570613.txt
 31/10/2011 | 12:14:22 | ERRO! Não houve envios.
 31/10/2011 | 12:14:22 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 31/10/2011 | 12:22:52 | >>> INICIANDO O PROCESSAMENTO DO ADR
 31/10/2011 | 12:22:52 | Arrumando Tributação...
 31/10/2011 | 12:22:52 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 31/10/2011 | 12:22:55 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
