    DATA    |   HORA   | DESCRIÇÃO 
 15/03/2013 | 15:27:36 | >>> INICIANDO O PROCESSAMENTO DO APenC
 15/03/2013 | 15:27:46 | >>> INICIANDO O PROCESSAMENTO DO APenC
 15/03/2013 | 15:27:55 | GERANDO RELAÇÃO DAS PENDÊNCIAS DOS PROCESSOS
 15/03/2013 | 15:27:55 | ANALISANDO CLIENTE(S): ACAMIN NAVEGAÇÃO E SERVIÇOS MARÍTIMOS LTDA
 15/03/2013 | 15:27:56 | Total de Processos: 0
 15/03/2013 | 15:27:56 | ANALISANDO CLIENTE(S): AGR DRILLING SERVICES DO BRASIL LTDA.
 15/03/2013 | 15:27:57 | Total de Processos: 0
 15/03/2013 | 15:27:57 | ANALISANDO CLIENTE(S): ALPHATEC S/A
 15/03/2013 | 15:27:57 | Total de Processos: 0
 15/03/2013 | 15:27:57 | ANALISANDO CLIENTE(S): ANADARKO EXPLORAÇÃO E PROD. DE PETROLEO E GAS NATURAL LTDA
 15/03/2013 | 15:27:58 | Total de Processos: 0
 15/03/2013 | 15:27:58 | ANALISANDO CLIENTE(S): ANADARKO EXPLORAÇÃO E PRODUÇÃO DE PETROLEO E GAS NATURAL LTD
 15/03/2013 | 15:27:59 | Total de Processos: 0
 15/03/2013 | 15:27:59 | ANALISANDO CLIENTE(S): ANADARKO EXPLORAÇÃO E PRODUÇÃO DE PETROLEO E GÁS NATURAL LTDA
 15/03/2013 | 15:27:59 | Total de Processos: 0
 15/03/2013 | 15:27:59 | ANALISANDO CLIENTE(S): ASSOCIAÇÃO DOS AMIGOS DA ANTIGA SE
 15/03/2013 | 15:28:01 | Total de Processos: 0
 15/03/2013 | 15:28:01 | ANALISANDO CLIENTE(S): ASTRO INTERNACIONAL S/A
 15/03/2013 | 15:28:01 | Total de Processos: 0
 15/03/2013 | 15:28:01 | ANALISANDO CLIENTE(S): ASTROMARITIMA NAVEGAÇÃO S.A.
 15/03/2013 | 15:28:02 | Total de Processos: 0
 15/03/2013 | 15:28:02 | ANALISANDO CLIENTE(S): ASTROMARITIMA NAVEGAÇÃO S/A
 15/03/2013 | 15:28:24 | >>> INICIANDO O PROCESSAMENTO DO APenC
 15/03/2013 | 15:28:33 | GERANDO RELAÇÃO DAS PENDÊNCIAS DOS PROCESSOS
 15/03/2013 | 15:28:33 | ANALISANDO CLIENTE(S): ASTROMARITIMA NAVEGAÇÃO S/A
 15/03/2013 | 15:28:34 | Total de Processos: 0
 15/03/2013 | 15:28:34 | ANALISANDO CLIENTE(S): ASTROMARITIMA NAVEGAÇÃO S/A
 15/03/2013 | 15:28:36 | Total de Processos: 0
 15/03/2013 | 15:28:36 | ANALISANDO CLIENTE(S): AXA ENGENHARIA SUBMARINA LTDA
 15/03/2013 | 15:28:37 | Total de Processos: 0
 15/03/2013 | 15:28:37 | ANALISANDO CLIENTE(S): BART SWAUWAERT
 15/03/2013 | 15:28:37 | Total de Processos: 0
 15/03/2013 | 15:28:37 | ANALISANDO CLIENTE(S): BCH ENERGY DO BRASIL SERVIÇOS DE PETROLEO LTDA
 15/03/2013 | 15:28:38 | Total de Processos: 0
 15/03/2013 | 15:28:38 | ANALISANDO CLIENTE(S): BCH ENERGY DO BRASIL SERVIÇOS DE PETROLEO LTDA
 15/03/2013 | 15:28:39 | Total de Processos: 0
 15/03/2013 | 15:28:39 | ANALISANDO CLIENTE(S): BCH ENERGY DO BRASIL SERVIÇOS DE PETROLEO LTDA
 15/03/2013 | 15:28:39 | Total de Processos: 0
 15/03/2013 | 15:28:39 | ANALISANDO CLIENTE(S): BCH ENERGY DO BRASIL SERVIÇOS DE PETROLEO LTDA
 15/03/2013 | 15:28:40 | Total de Processos: 0
 15/03/2013 | 15:28:40 | ANALISANDO CLIENTE(S): BCH ENERGY DO BRASIL SERVIÇOS DE PETROLEO LTDA
 15/03/2013 | 15:28:40 | Total de Processos: 0
 15/03/2013 | 15:28:40 | ANALISANDO CLIENTE(S): BCH ENERGY DO BRASIL SERVIÇOS DE PETRÓLEO LTDA.
 15/03/2013 | 15:28:41 | Total de Processos: 0
 15/03/2013 | 15:28:41 | ANALISANDO CLIENTE(S): BELOV ENGENHARIA LTDA
 15/03/2013 | 15:28:42 | Total de Processos: 0
 15/03/2013 | 15:28:42 | ANALISANDO CLIENTE(S): BELOV ENGENHARIA LTDA
 15/03/2013 | 15:28:43 | Total de Processos: 0
 15/03/2013 | 15:28:43 | ANALISANDO CLIENTE(S): BG E & P BRASIL LTDA
 15/03/2013 | 15:28:43 | Total de Processos: 0
 15/03/2013 | 15:28:43 | ANALISANDO CLIENTE(S): BG E & P BRASIL LTDA.
 15/03/2013 | 15:28:44 | Total de Processos: 0
 15/03/2013 | 15:28:44 | ANALISANDO CLIENTE(S): BG E & P BRASIL LTDA.
